RodSegments,ShellSegments,MeshSize,MaximumDisplacementL2,MaximumMultiplierL2,MaximumPowerAdjointDefect
8,13,0.125,0.00087785236401062,0.03277633184918266,2.7755575615628914e-17
16,25,0.0625,0.000223518652753662,0.01354398543652262,1.3877787807814457e-17
32,49,0.03125,5.6429259372100937e-05,0.006440768488365468,2.0816681711721685e-17
64,97,0.015625,1.4176362879502329e-05,0.003179783634951777,1.3877787807814457e-17
