Component,SignedResponse,SignedFractionOfSolidResponse,AbsoluteFractionOfObservedGap
production-longitudinal-discretization,9.510962674340893e-07,0.03397827159459382,0.1589737588062016
mixed-dimensional-kinematics-and-section-model,8.077881341496997e-06,0.2885853467501992,1.3502010301362606
three-dimensional-versus-plane-stress-constraint,-1.447623860687734e-06,-0.05171690646832549,0.2419673111450019
cross-section-integration-and-alignment,-1.56166782833983e-06,-0.055791170072642,0.26102952264514634
legacy-solid-longitudinal-discretization,-3.6961006205458037e-08,-0.0013204458373563667,0.006177955152313958
