Stage,TipProfileRelativeError,WarpingRelativeError,CurvatureRelativeError,InterfaceTractionRelativeError,InterfaceTractionFluctuationRelativeError,InterfaceMomentDensityRelativeError,ConstraintError,PowerConjugacyDefect,ConditionNumber,NewtonIterations,AssemblySeconds,LinearSolveSeconds,InterfaceResultants,ShellStressResultant,ShellStressResultantRelativeError,ShellCurvature,Q2MaximumThreeDimensionalVonMisesStress
finite-width-dual-mortar,0.4574432510603368,0.7022076282151427,4.981737192858715,10.463615736547432,10.932552096574842,18.94450016544142,3.1901449784916405e-20,1.0408340855860843e-17,3335586.5376179004,1,5.413604599998507,0.08817279999493621,"{'TotalForce': array([-1.98669331e-04,  7.77020592e-16,  9.80066578e-04]), 'TotalMomentAboutRodCenterline': array([ 1.75336626e-06, -1.31888171e-03,  9.61942387e-05]), 'TransverseProfile': [{'WidthCoordinate': -0.01154700538379, 'MeanTractionOnShell': array([0.20022606, 5.7867081 , 0.43605027]), 'MeanCoupleOnShell': array([-6.63261011e-02, -2.32301919e-02,  3.93800892e-05]), 'MeanLocalTraction': array([ 0.213092  ,  5.7867081 , -0.55082196]), 'MeanLocalWrenchMomentDensity': array([-0.107196  , -0.02195164, -0.00686149])}, {'WidthCoordinate': 0.01154700538379, 'MeanTractionOnShell': array([-0.21015952, -5.7867081 , -0.38704694]), 'MeanCoupleOnShell': array([ 7.59181234e-02, -4.26350804e-02,  2.54579477e-05]), 'MeanLocalTraction': array([-0.22622755, -5.7867081 ,  0.26824496]), 'MeanLocalWrenchMomentDensity': array([ 0.10732161, -0.04399245,  0.00207816])}], 'LocalFrameConvention': 'tangent-width-outward-normal', 'SignConvention': 'action on shell equals minus the multiplier associated with gap = shell minus rod'}",0.3559137906156754,0.3996509775936172,0.004562801225282057,128.8683074420837
selective-finite-width-dual-mortar,0.47237785661095205,1.4739734116358905,6.0213341017319735,1.0080058912560965,1.0517618452385948,5.749961500589021,4.311355825505878e-20,2.6020852139652106e-18,3328807.5490443395,1,5.413604599998507,0.07535890000144718,"{'TotalForce': array([-1.98669331e-04, -5.50360928e-16,  9.80066578e-04]), 'TotalMomentAboutRodCenterline': array([ 7.04429697e-06, -1.33615632e-03,  6.80586340e-05]), 'TransverseProfile': [{'WidthCoordinate': -0.01154700538379, 'MeanTractionOnShell': array([ 1.39778808e-01, -1.37586746e-14,  1.83145634e-01]), 'MeanCoupleOnShell': array([ 2.00783701e-03, -3.33639846e-02,  2.78992099e-05]), 'MeanLocalTraction': array([ 1.48709186e-01, -1.37380962e-14, -3.08732053e-01]), 'MeanLocalWrenchMomentDensity': array([-0.00156182, -0.03247173, -0.00160471])}, {'WidthCoordinate': 0.01154700538379, 'MeanTractionOnShell': array([-1.49712274e-01, -1.37586746e-14, -1.34142305e-01]), 'MeanCoupleOnShell': array([ 2.00783701e-03, -3.33639846e-02,  2.78992099e-05]), 'MeanLocalTraction': array([-1.62016995e-01, -1.39064546e-14,  2.70939580e-02]), 'MeanLocalWrenchMomentDensity': array([ 0.00169026, -0.03433609, -0.00175838])}], 'LocalFrameConvention': 'tangent-width-outward-normal', 'SignConvention': 'action on shell equals minus the multiplier associated with gap = shell minus rod'}",0.3276138966122163,0.3791996447379516,0.004604233880782466,128.8683074420837
constant-transverse-mode,0.4820312352465333,1.5859152580998863,7.129746845612205,0.9585547386418224,1.0,5.636703944854065,3.768609021397452e-20,6.938893903907228e-18,3355898.306201928,1,5.413604599998507,0.0795460000008461,"{'TotalForce': array([-1.98669331e-04,  6.96477923e-16,  9.80066578e-04]), 'TotalMomentAboutRodCenterline': array([ 2.36053240e-06, -1.30943311e-03,  1.08489658e-06]), 'TransverseProfile': [{'WidthCoordinate': -0.01154700538379, 'MeanTractionOnShell': array([-4.96673327e-03,  1.74094680e-14,  2.45016644e-02]), 'MeanCoupleOnShell': array([ 5.90140004e-05, -3.26967032e-02,  2.70899018e-05]), 'MeanLocalTraction': array([-6.52074434e-03,  1.73540110e-14, -1.40648036e-01]), 'MeanLocalWrenchMomentDensity': array([-1.56527827e-03, -3.27358276e-02,  6.00268550e-05])}, {'WidthCoordinate': 0.01154700538379, 'MeanTractionOnShell': array([-4.96673327e-03,  1.74094680e-14,  2.45016644e-02]), 'MeanCoupleOnShell': array([ 5.90140004e-05, -3.26967032e-02,  2.70899018e-05]), 'MeanLocalTraction': array([-6.52074434e-03,  1.73540110e-14, -1.40648036e-01]), 'MeanLocalWrenchMomentDensity': array([ 1.68284899e-03, -3.27358276e-02, -9.05632851e-05])}], 'LocalFrameConvention': 'tangent-width-outward-normal', 'SignConvention': 'action on shell equals minus the multiplier associated with gap = shell minus rod'}",0.3476928041843617,0.39287845611778666,0.0047019150031848145,128.8683074420837
