Mesh,TimeStepS,StepCount,PrimalDof,TotalUnknowns,RodElements,ShellTriangles,InterfacePairs,FirstLowerImpactTimeS,FirstLowerImpactNormalVelocity,ImpactEventCount,ImpactAuditFailureCount,SeparatingImpactCandidateCount,MaximumImpactConstraintVelocityError,MaximumImpactMomentumBalanceError,MaximumImpactRestitutionError,MaximumImpactEnergyLossError,MaximumRelativeEnergyDefect,MaximumLowerStopPenetration,MaximumInterfaceGap,TotalNewtonIterations,TotalLineSearchCount,RuntimeSeconds,AllImpactAuditsPassed,Passed,CheckpointReused
"[1, 1]",0.03,8,73,106,2,4,4,0.20210084302591513,-6.8414220083612864,2,0,0,1.3326471003105578e-15,2.168404344971009e-19,4.440892098500626e-16,5.551115123125783e-17,0.016350781263979798,8.208776469518673e-09,1.734723475976807e-18,28,0,50.96781810000539,True,True,False
"[1, 1]",0.015,16,73,106,2,4,4,0.19811897933450273,-6.682981446373101,2,0,0,1.9936241785027675e-15,2.168404344971009e-19,8.881784197001252e-16,3.361026734705064e-17,0.0018057177875146317,2.289550289266157e-16,1.3338277780836324e-16,40,0,74.18359649999911,True,True,False
"[1, 1]",0.0075,32,73,106,2,4,4,0.19812350545382817,-6.609041463796492,2,0,0,1.7767363101606204e-15,2.168404344971009e-19,4.440892098500626e-16,5.551115123125783e-17,0.0005225199380508756,0.0,6.938893903907228e-18,70,0,107.07681279999815,True,True,False
"[2, 2]",0.03,8,145,190,4,16,6,0.19332850255706752,-6.388472897392772,2,0,0,8.882868399173738e-16,1.6940658945086007e-20,4.440892098500626e-16,7.025630077706069e-17,0.015460182790977987,1.3750965799786807e-16,1.2357382735223268e-16,30,0,160.9092085000011,True,True,False
"[2, 2]",0.015,16,145,190,4,16,6,0.19069385872899422,-6.600958498271778,2,0,0,2.5535705548782733e-15,3.2526065174565133e-19,1.1102230246251565e-16,1.1102230246251565e-16,0.002060627362211215,0.0,2.6142474501742396e-16,48,0,200.5760339999979,True,True,False
"[2, 2]",0.0075,32,145,190,4,16,6,0.1902693365423063,-6.456275169485152,2,0,0,1.334652874329656e-15,4.336808689942018e-19,8.881784197001252e-16,1.3877787807814457e-16,0.00037945165448096535,8.59148570727308e-09,8.051638438029445e-17,70,0,259.9497573999979,True,True,False
"[4, 4]",0.03,8,361,430,8,64,10,0.1885078016473909,-6.311654397782495,1,0,0,1.2061749168901237e-15,8.046812998915853e-21,4.440892098500626e-16,1.1102230246251565e-16,0.015093770962279048,1.5281255464982086e-11,1.2718090576858041e-16,32,2,420.2199537999986,True,True,False
"[4, 4]",0.015,16,361,430,8,64,10,0.1859863413289312,-6.591153363580075,2,0,0,7.760346456154449e-16,1.3877787807814457e-17,2.220446049250313e-16,1.0581813203458523e-16,0.001933008621876127,5.635139334664503e-09,1.4030254484505763e-16,53,0,1073.005548699999,True,True,False
"[4, 4]",0.0075,32,361,430,8,64,10,0.18553703146410636,-6.429690613899239,2,0,0,1.332701310419182e-15,1.0842021724855044e-19,5.551115123125783e-16,5.551115123125783e-17,0.0003284829000501366,6.877114333596812e-09,1.0817113477456893e-16,76,0,865.3987888999982,True,True,False
