Method,ConstraintViolation,LinearResidualInfinityNorm,ConditionNumber,LinearSolveSeconds,NewtonIterations,SolveClass,TipMeanDisplacement,TipWidthWarp,UnresolvedTransverseMoment
finite-width-dual-mortar,1.1155130320590614e-16,4.592680402648597e-16,42881740749.025375,0.06852880000224104,1,one-consistent-tangent-linearized-equilibrium,-1.7244483436687413e-05,3.014080433461712e-08,7.714476912342188e-17
published-bts-full-cons-equation-reproduction,1.1633164971998543e-17,2.959871930885427e-16,58968383193.20303,0.1106999999974505,1,one-consistent-tangent-linearized-equilibrium,-1.9223744371286678e-05,3.833359483444669e-08,1.0820768339676511e-05
