Level,SpanSegmentsPerPanel,ChordSegments,RodNodes,ShellNodes,InterfacePairs,PrimalDof,TotalUnknowns,TipDisplacementZ,PotentialEnergy,StaticResidualInfinityNorm,InterfaceGapInfinityNorm,StaticNewtonIterations,StaticAssemblySeconds,StaticLinearSolveSeconds,Passed
L1,1,1,4,8,4,73,106,-0.0008385522530795062,0.0015092298378561503,1.170890471982166e-13,4.542603404371759e-25,3,2.3092975999970804,0.12867950000509154,True
L2,2,2,6,18,6,145,190,-0.0008354827399745697,0.0015079634990554243,3.5680634489343834e-13,5.293955920339377e-23,3,4.419502899996587,0.3531869999933406,True
L3,4,4,10,50,10,361,430,-0.0008348984935544835,0.0015088195839648233,1.7967634931351042e-12,1.0587911840678754e-22,3,15.39477999999508,1.0268723999979557,True
