Benchmark,Penalty,ConstraintViolation,StateRelativeErrorAgainstExactMultiplier,ConditionNumber,TipMeanDisplacement,TipWidthWarp,PublishedConstraintViolation,UnresolvedTransverseMoment,LinearResidualInfinityNorm,LinearSolveSeconds,NewtonIterations,SolveClass
canonical,100.0,0.006786885826170106,0.006076715411186921,350.65773064575535,,,,,,,,
canonical,10000.0,6.826000572315676e-05,6.111831468980073e-05,34785.43858109795,,,,,,,,
canonical,1000000.0,6.826394517350858e-07,6.112147165207744e-07,3478263.699666902,,,,,,,,
shared-curved-equilibrium,100.0,,,388116454.0121319,-1.9235979806244824e-05,3.834356793843742e-08,5.34669357131894e-09,1.0880407765052481e-05,2.4424906541753444e-15,0.0255131000012625,1,one-consistent-tangent-linearized-equilibrium
shared-curved-equilibrium,10000.0,,,37720273277.87998,-1.9223873147666713e-05,3.833370937918987e-08,5.595833704300782e-11,1.0821367753617977e-05,1.5631940186722204e-13,0.04667600000539096,1,one-consistent-tangent-linearized-equilibrium
shared-curved-equilibrium,1000000.0,,,3770952117089.295,-1.9223745916425756e-05,3.83335961199581e-08,5.599611433219711e-13,1.082077461077996e-05,1.0913936421275139e-11,0.028360299998894334,1,one-consistent-tangent-linearized-equilibrium
