EvidenceClass,BaselineExecuted,Dimension,Requested,Executed,Missing,DimensionComplete,PhysicalMatrixComplete
production-physical-covering-matrix-plus-stratified-independent-q2-anchor,True,WidthRatio,"[0.025,0.04,0.08]","[0.025,0.04,0.08]",[],True,True
production-physical-covering-matrix-plus-stratified-independent-q2-anchor,True,CurvatureWidthProduct,"[0.0,0.008,0.04]","[0.0,0.008,0.04]",[],True,True
production-physical-covering-matrix-plus-stratified-independent-q2-anchor,True,EccentricityRatio,"[0.0,0.25,0.4]","[0.0,0.25,0.4]",[],True,True
production-physical-covering-matrix-plus-stratified-independent-q2-anchor,True,ShellToRodMeshRatio,"[1.5,1.125,0.75]","[0.75,1.125,1.5]",[],True,True
production-physical-covering-matrix-plus-stratified-independent-q2-anchor,True,StiffnessRatio,"[1.0,5.0,20.0]","[1.0,5.0,20.0]",[],True,True
production-physical-covering-matrix-plus-stratified-independent-q2-anchor,True,Geometry,"[""flat"",""single-curvature"",""double-curvature""]","[""double-curvature"",""flat"",""single-curvature""]",[],True,True
