ThicknessElements,Dof,Hexahedra,TipDisplacementToLength,TipReactionForce,IncrementalStiffness,TipCenterlineCurvature,P95CauchyVonMisesStress,RelativeResidual,MinimumDeformationJacobian,NewtonIterations,WallSeconds,Converged
1,1521,36,0.035,1.1742808699328757,27.477870814702584,0.2380867374229487,10178.942683352063,1.1908878199882303e-09,0.9933586334184146,61,392.34413450000284,True
2,2535,72,0.035,1.1700858468474504,27.25495436837266,0.2382455180294778,9488.438687255331,2.018662659809923e-09,0.9931715310003192,61,670.8429414000057,True
4,4563,144,0.035,1.1697758170641412,27.238543534933005,0.23825727483546477,9255.939631820345,3.809067104289747e-09,0.9930724029961336,61,1422.1493547000064,True
