RecordId,Group,File,Format,Bytes,Sha256
D0044,01_method_current,data/01_method_current/D0044.csv,CSV,4589,c554146731372a149bce3ba49a74d8c4627a9b1f23276463a23d8c373cf9b50b
D0045,01_method_current,data/01_method_current/D0045.csv,CSV,6662,e551de05482c90a827baea779c006816f8a104d07c290e8d6f1704f7931bbcb4
D0046,01_method_current,data/01_method_current/D0046.csv,CSV,1057,59f91e87c177fa059c7c8ccade057f9ebbf24d5fe11db20b303e609146f1f54a
D0047,01_method_current,data/01_method_current/D0047.csv,CSV,5363,4dd2fe3365368cf98a5beb2059a7202415dd1998e2cbbd8e2fd08bc4339f497b
D0048,01_method_current,data/01_method_current/D0048.csv,CSV,1734,5a4ed2d21542fa134d2b05e41350d5d8b51d11b0d3c9ed5f1c6f1fa6edf399f1
D0049,01_method_current,data/01_method_current/D0049.csv,CSV,24181,a6e8c5e65273ec362328b1495d86ed77a2fa48f345cf7531fa40eb0bf29b3073
D0050,01_method_current,data/01_method_current/D0050.csv,CSV,1741,a169c44671a6bcffa87a2dc4a5c97c7386668d196a6e84131599ec15cafbbc47
D0051,01_method_current,data/01_method_current/D0051.h5,H5,10155575,8b0b668bc0c0564bf9e94b11530d300b149860f4c6a34feff116c69c3e277e53
D0052,01_method_current,data/01_method_current/D0052.csv,CSV,422,cab7bd8b4986561b161c721b5cd1ff09e1a5f21546349185529fffe81a5fcb0a
D0053,01_method_current,data/01_method_current/D0053.csv,CSV,2592,33e9b54546881cf0578d1f3188c1fc4097828ab4d890d5f6b97ee283448bddf2
D0054,01_method_current,data/01_method_current/D0054.csv,CSV,505,2542959bf35a7574dfa473f8f8d6f553e6852383587b4ddfbe3128e829ea1b0f
D0055,01_method_current,data/01_method_current/D0055.csv,CSV,409,86d61cee085388ad69edd576842bfc8b021c2a789bb543e989f595e0a709be5a
D0056,01_method_current,data/01_method_current/D0056.csv,CSV,297,4ac03f8a6690bfe67d17393eb6775f86dcc2ca41b628ec7144dd55246edd1bac
D0057,01_method_current,data/01_method_current/D0057.csv,CSV,960,c98d924136aa13e77ffeb437580e370538ec716e0c89e96840234496b507e559
D0058,01_method_current,data/01_method_current/D0058.csv,CSV,1777,904063d700663d70614cecb4e2883072c5ec5f2828ec521fd1ed42dae5a06ed2
D0059,01_method_current,data/01_method_current/D0059.csv,CSV,2949,0fe408bc79a64fe539f29e53aea43747f3912202bb398eccebaa330f302c6b52
D0060,01_method_current,data/01_method_current/D0060.csv,CSV,1232,e81b3ebbdd799cb3881e25d8a68813be1c796331aede4854b6a5a5010a7c6b67
D0061,01_method_current,data/01_method_current/D0061.csv,CSV,2638,1d37b94178b5aa9efa60a11c9b713483296061e1ddca498bcd919f5df388ef1f
D0062,01_method_current,data/01_method_current/D0062.csv,CSV,650,7ed00ff45916678d69016145fd0ac4b65ac79144e32e0fb7acc5460c6f569321
D0063,01_method_current,data/01_method_current/D0063.csv,CSV,814,e88dbe3f04f52971613e023536703545bf86f32deff28c062f724a3cadbd1e6b
D0064,01_method_current,data/01_method_current/D0064.csv,CSV,235,237b140c7a01517542bf7f0d67f7e8bd3f88cd7848ae4eca73d707808bfab590
D0065,01_method_current,data/01_method_current/D0065.csv,CSV,1233,5090f26dc1cd5265c3f76391a3a79df98f5c162db7faf58632b8d1701daf41c2
D0066,01_method_current,data/01_method_current/D0066.csv,CSV,735,095bb582633b202ca43997f220d3e42fe19199ae70af16e64fac544c1340cba5
D0067,01_method_current,data/01_method_current/D0067.csv,CSV,1629,3d2eb5074da7f21405548e2c81edf8b0cb47699822c9d0c79eff3acbbb407e1c
D0068,01_method_current,data/01_method_current/D0068.csv,CSV,620,4dfac216422c0215686661a8f88dbce2b3a44a4a4e6ee55b0a3d2b01bce81185
D0069,01_method_current,data/01_method_current/D0069.csv,CSV,1745,a6619a12f4dcca66fac0242b7f6eb0754b831d6d8763d848e1e8ffabacbd387c
D0070,01_method_current,data/01_method_current/D0070.csv,CSV,957,0e3c80dbb26475252d0503c668a33aa473fed3f4b4879f28d31f2165a3d7443c
D0071,03_width_reference,data/03_width_reference/D0071.json,JSON,6081,de72df611069513f14fb48d7e6a555e172d3e16dd42132daa15f0eb301e1a42c
D0072,03_width_reference,data/03_width_reference/D0072.csv,CSV,587,297d4ad918b213f1995d438ddda5f8949ed61a0afafcb901975334937d3bb3dc
D0073,03_width_reference,data/03_width_reference/D0073.csv,CSV,707,03879e5fc503485523b5285589f1e8d08cf9298144eb685eab7d41b553c683b5
D0074,03_width_reference,data/03_width_reference/D0074.csv,CSV,416,97c166518ca97d57ffc2451070fd9f9f6bde28e085e8da12d9b9636894a0cdd5
D0075,04_production_300k,data/04_production_300k/D0075.json,JSON,965409,3727801d6c8390e93dfc768e9b4f9858a98d4a7ddf405cafc15bfc8b5d11a65d
D0076,04_production_300k,data/04_production_300k/D0076.json,JSON,2917,59a641a6ceaf21a18bc42e009fb5957e1fb7ab83c1ac97b8e46c3782bb76af9a
