EnergyError,RelativeEnergyErrorToReducedState,GoalCorrection,OmittedSchurMinimumEigenvalue,ScaledKernelCoercivity,RetainedKernelCoercivity,ReferenceResidualInfinityNorm,ErrorEnergyIdentityDefect,KktUnknowns,CertificateClass,IndependentPhysicalAccuracyCertified,OnlineSpeedupDemonstrated,Stage,RestrictionLiftPowerDefect,SharedAssemblySeconds,CertificateSeconds,RetainedConstraintCount,PhysicalEquilibriumResidual,RelativeEnergyBudgetMet,JacobianNnz,Geometry,WidthRatio
0.00011945561134171255,0.07173578751506642,1.4360290454487269e-05,0.0011192293479250447,1.3105063324549466e-06,1.3046993251672674e-06,3.4569447456521407e-16,1.9340395411797556e-12,162,exact-shared-linear-tangent-omitted-constraint-correction,False,False,constant,0.0,2.2576868999994986,0.006221699999514385,18,1.486773565248013e-13,False,2132,flat,0.01
9.516667947060075e-05,0.057203531003389936,9.150974461559637e-06,0.36891619163445255,1.3105063324549466e-06,1.3065821091552238e-06,3.1880795475346807e-16,7.0363395424593e-13,165,exact-shared-linear-tangent-omitted-constraint-correction,False,False,normal-affine,8.673617379884035e-19,2.2576868999994986,0.005588699999862001,21,1.0402965075491296e-13,False,2182,flat,0.01
9.136556102863879e-05,0.054925760872609974,8.432008382511428e-06,0.36896573717804726,1.3105063324549466e-06,1.3069067208265148e-06,3.828114583138975e-16,2.4257537401416835e-13,168,exact-shared-linear-tangent-omitted-constraint-correction,False,False,selective-affine,1.734723475976807e-18,2.2576868999994986,0.006622999999308377,24,1.15126839382118e-13,False,2270,flat,0.01
8.697171454241324e-05,0.052291739667298526,7.640742809249367e-06,0.76822972076927,1.3105063324549466e-06,1.3072891263606684e-06,2.540832026384516e-16,7.961147359163292e-13,171,exact-shared-linear-tangent-omitted-constraint-correction,False,False,translations-affine,0.0,2.2576868999994986,0.007709499999691616,27,1.2531112454783237e-13,False,2346,flat,0.01
3.2010349455481635e-05,0.019269010781551875,1.0246603229513723e-06,0.5325968802101287,1.3105063324549466e-06,1.3100522305436945e-06,3.426095805713139e-16,3.531811965290726e-14,177,exact-shared-linear-tangent-omitted-constraint-correction,False,False,without-width-stretch,1.734723475976807e-18,2.2576868999994986,0.006360399999721267,33,1.6219106699911406e-13,True,2384,flat,0.01
0.0,0.0,0.0,,1.3105063324549466e-06,1.3105063324549466e-06,2.907330477167243e-16,0.0,180,exact-shared-linear-tangent-omitted-constraint-correction,False,False,full-affine,0.0,2.2576868999994986,0.005203400000027614,36,1.2626822032948076e-13,True,2460,flat,0.01
0.00012045829542584502,0.08761449469178578,1.464817993483019e-05,0.0019780133731359933,1.9104760722385425e-06,1.8949122024601937e-06,2.1060966013709825e-16,2.918749888226061e-14,162,exact-shared-linear-tangent-omitted-constraint-correction,False,False,constant,0.0,1.9873997000004238,0.0066633999995246995,18,9.501964934520425e-14,False,2132,flat,0.02
0.00010298568238195409,0.07498338789495063,1.0746321989192926e-05,0.3690757472579669,1.9104760722385425e-06,1.8998267735559166e-06,3.146761280367616e-16,1.2275844342970264e-13,165,exact-shared-linear-tangent-omitted-constraint-correction,False,False,normal-affine,0.0,1.9873997000004238,0.006552499999997963,21,7.342879894411032e-14,False,2180,flat,0.02
9.918609128553157e-05,0.07223163233843935,9.949978615236157e-06,0.3691133583140519,1.9104760722385425e-06,1.900848845524039e-06,4.5812496930254e-16,6.141289344281872e-13,168,exact-shared-linear-tangent-omitted-constraint-correction,False,False,selective-affine,3.469446951953614e-18,1.9873997000004238,0.0074400000003151945,24,1.1022107734168504e-13,False,2266,flat,0.02
9.516002562636848e-05,0.06931405885607037,9.15540874593293e-06,0.7742010667380441,1.9104760722385425e-06,1.9017885367720778e-06,2.560800828116036e-16,3.027218371229761e-13,171,exact-shared-linear-tangent-omitted-constraint-correction,False,False,translations-affine,6.938893903907228e-18,1.9873997000004238,0.005684699999619625,27,1.1565604155442067e-13,False,2340,flat,0.02
