Geometry,RefinementLevel,PrimalDof,MultiplierDof,DiscreteInfSup,MomentPreservationDefect,DensityPairingDefect,OrdinaryPairingDifference,MinimumMapSingularValue,MaximumMapSingularValue
flat,1,15,4,0.900586045018852,3.236828524569469e-16,0.0,0.0,1.0,1.0
flat,2,45,4,0.9700820933782375,2.7265526925652344e-16,0.0,0.0,1.0,1.0
flat,4,153,4,0.9932450377836084,8.533711151787501e-17,8.84140115194883e-19,4.386038348349381e-18,0.9999999999999992,1.0000000000000004
single,1,15,4,0.8979783968198968,0.0,5.581272282982673e-18,0.006884184691463583,1.0,1.0965856099730653
single,2,45,4,0.969395825105178,6.691626947686432e-17,6.966420813995334e-18,0.004487722504559718,1.0,1.0965856099730653
single,4,153,4,0.9930691440499444,2.3331869531677153e-16,3.59835627051049e-18,0.0025220093715025427,0.9999999999999994,1.0965856099730655
double,1,15,4,0.8977652974535341,2.2887833992611187e-16,3.9643863926834864e-18,0.008857864947424956,1.0,1.1146748404803977
double,2,45,4,0.9694991976345086,2.664029250039677e-16,2.6836399310827796e-18,0.005594851030190591,1.0,1.1146748404803979
double,4,153,4,0.9930989352319748,2.0146892041787865e-16,2.081312149764581e-18,0.003108656636779408,0.9999999999999993,1.114674840480398
