source_time_s,source_lift_n,applied_lift_n,old_tip_bending_m,new_tip_bending_m,old_twist_rad,new_twist_rad,old_camber_proxy_m,new_camber_proxy_m,newton_residual,newton_iterations,interface_gap,relative_energy_error,relative_energy_before_impact_accounting,impact_event_count
3.2,15.551114921037914,0.0,0.012008311874510635,0.0,-0.007996029752349358,0.0,0.0024387630844407227,0.0,nan,0,0.0,0.0,0.0,0
3.23,15.39855796003441,1.6014500278435595,0.011345339811872125,0.00042979867772196135,-0.008015007108461616,0.0009674192602794985,0.0020627579086781454,0.00041469234172519147,4.624971643681313e-08,2,1.6776033180901114e-21,0.00031307460457630145,0.00031307460457630145,0
3.26,15.118402507885023,5.321677682775471,0.009629598768615966,0.0032760655374641846,-0.007931295247599114,0.006742363563648829,0.0012471563745214483,0.002662129417879259,1.240168089308623e-06,2,1.7514519490606666e-20,0.004031817263667567,0.004031817263667567,0
3.2899999999999996,14.836983678764739,9.614365423839468,0.006972345043698713,0.012153280569461552,-0.0073390909409322014,0.022024333054512655,0.0002177024946761468,0.00842035162122193,1.2752737274512453e-12,3,2.710505431213761e-20,0.012332334620120036,0.012332334620120036,0
3.3199999999999994,14.649401629782275,13.125863860284845,0.003573820138182234,0.029764826373044295,-0.005859539305721241,0.04628969111941524,-0.0007767778423010034,0.01763190516984841,7.03590167779809e-13,3,2.168404344971008e-19,0.017239681687302336,0.017239681687302336,0
3.349999999999999,14.605159289990477,14.605159289990477,-0.0002396005513293773,0.05459072240561963,-0.003318284799018661,0.07208425344548776,-0.0015144459248073532,0.027298553518427755,1.9564489702175096e-11,3,2.032437295724416e-22,0.008578360918535064,0.008578360918535064,0
3.379999999999999,15.154909874364705,15.154909874364705,-0.004723441004430666,0.07972508216044669,0.0017234768047761852,0.08920589168871283,-0.001774853361868435,0.033212921060501874,1.1571937778491229e-10,3,1.2737521600531557e-21,0.00239790780802834,0.00239790780802834,0
3.409999999999999,15.833777716523283,15.833777716523283,-0.009172545382014624,0.09558366881018185,0.008560311928119768,0.0916935239844029,-0.0014840200063055194,0.033343111067116335,7.196638028577613e-12,3,8.673617379884035e-19,0.0011182317203451743,0.0011182317203451743,0
3.4399999999999986,16.10723303399956,16.10723303399956,-0.01232503221343522,0.09526678710196343,0.014851030826252587,0.08267257576418807,-0.0007651443903864512,0.028880931469964094,3.1922417488528757e-13,3,1.734723475976807e-18,0.000340620674106981,0.000340620674106981,0
3.4699999999999984,15.90690406421079,15.90690406421079,-0.013329923199785309,0.07839243393435268,0.01857367366766183,0.06896105995320698,0.00013111371859332504,0.023023231249137646,1.7794421357348006e-12,3,4.336808689942018e-19,0.0006637239169347025,0.0006637239169347025,0
