Benchmark,Penalty,ConstraintViolation,StateRelativeErrorAgainstExactMultiplier,ConditionNumber,TipMeanDisplacement,TipWidthWarp,CenterlineConstraintViolation,UnresolvedTransverseMoment,LinearResidualInfinityNorm,LinearSolveSeconds,NewtonIterations,SolveClass
canonical,100.0,0.006786885826170106,0.006076715411186921,350.65773064575535,,,,,,,,
canonical,10000.0,6.826000572315676e-05,6.111831468980073e-05,34785.43858109795,,,,,,,,
canonical,1000000.0,6.826394517350858e-07,6.112147165207744e-07,3478263.699666902,,,,,,,,
shared-curved-equilibrium,100.0,,,111094477.6005962,-2.0624722436948383e-05,3.816354693323085e-08,5.346758365698715e-09,2.0484788197567912e-05,1.4599432787847535e-14,0.051719800001592375,1,one-consistent-tangent-linearized-equilibrium
shared-curved-equilibrium,10000.0,,,10643473761.379635,-2.060910379839731e-05,3.809901438725047e-08,7.234395917915946e-11,2.0481544250476686e-05,1.6613377340541148e-12,0.07171899999957532,1,one-consistent-tangent-linearized-equilibrium
shared-curved-equilibrium,1000000.0,,,1063973663183.5421,-2.0608869570754344e-05,3.809786247360638e-08,7.264049826306762e-13,2.0481396397118206e-05,1.1143034368485405e-10,0.09905259999504779,1,one-consistent-tangent-linearized-equilibrium
