ThicknessRatio,Formulation,TipCompliance,EulerBernoulliCompliance,NormalizedCompliance,FreeTangentRank,FreeTangentSize,MinimumRetainedSingularValue,Finite
0.1,centroid,0.016403934111300353,0.019999999999999993,0.8201967055650179,72,72,1.1709434208868266,True
0.05,centroid,0.059294126002718876,0.15999999999999995,0.3705882875169931,72,72,0.1472564482384849,True
0.02,centroid,0.22228593515255413,2.4999999999999996,0.08891437406102166,72,72,0.009440470199845724,True
0.1,discrete-shear-gap,0.029466032702553907,0.019999999999999993,1.4733016351276957,72,72,1.1709434208864615,True
0.05,discrete-shear-gap,0.23351138999679635,0.15999999999999995,1.4594461874799778,72,72,0.14725644823793088,True
0.02,discrete-shear-gap,3.627937605880327,2.4999999999999996,1.451175042352131,72,72,0.009440470199369859,True
