RefinementRoute,Segments,OuterWidthElements,RibWidthElements,ThicknessElements,Hexahedra,Dof,TipDisplacementWidth,AbsoluteTipResponse,ConstitutiveMode,MaximumPolarRotationRad,MinimumDeformationJacobian,FreeResidualInfinityNorm,WallSeconds,Package,PackageVersion,Finite
cross-section,32,1,1,1,96,4095,-2.9314936731417596e-05,2.9314936731417596e-05,three-dimensional,9.603202906227923e-05,0.999992056371414,4.704570066849101e-15,1.1297401000047103,scikit-fem,12.0.2,True
cross-section,32,2,2,2,384,12675,-2.9513769695781076e-05,2.9513769695781076e-05,three-dimensional,9.93744955778532e-05,0.999990952197882,7.123861242168747e-15,5.133863499999279,scikit-fem,12.0.2,True
cross-section,32,3,3,2,576,18525,-2.955249919172702e-05,2.955249919172702e-05,three-dimensional,0.00010007722811684944,0.999990744835236,7.105440567021679e-15,17.974656200000027,scikit-fem,12.0.2,True
aligned-3d-longitudinal,16,3,3,2,288,9405,-2.9440186093561197e-05,2.9440186093561197e-05,three-dimensional,9.935276567800756e-05,0.9999918952327956,8.902280978116845e-15,4.21942339999805,scikit-fem,12.0.2,True
aligned-3d-longitudinal,32,3,3,2,576,18525,-2.955249919172702e-05,2.955249919172702e-05,three-dimensional,0.00010007722811684944,0.999990744835236,7.105440567021679e-15,18.26693289999821,scikit-fem,12.0.2,True
aligned-plane-stress-longitudinal,16,3,3,2,288,9405,-3.092464228301582e-05,3.092464228301582e-05,plane-stress-mapped,0.0001006366709726181,0.9999905559697044,1.4210784932630803e-14,3.314907799998764,scikit-fem,12.0.2,True
aligned-plane-stress-longitudinal,32,3,3,2,576,18525,-3.100933113460648e-05,3.100933113460648e-05,plane-stress-mapped,0.0001013546358349957,0.9999891700012836,7.179698244294271e-15,16.607138200000918,scikit-fem,12.0.2,True
