Method,TraceL2Gap,RodNodalErrorLinf,AlgebraicCondition,Finite
dual-mortar,0.0014858349477561343,0.0030269131605279997,3.9116122311760546,True
nearest-node-tie,0.004356395536282615,0.012058438000072946,1.0,True
finite-penalty,0.0014858391636965237,0.0030252810093913673,3.9102064554203952,True
