RodToShellStiffnessRatio,RawKktCondition,EquilibratedKktCondition,UnscaledFailure,ScalingRequired,EquilibratedFailure,Finite
1e-08,166181707.34746227,315492.6120334446,False,False,False,True
1e-06,1661822.7920652444,3154.9262280026087,False,False,False,True
0.0001,16626.817983314013,728.9741475805286,False,False,False,True
0.01,23198.621772998536,751.424011241771,False,False,False,True
1.0,323639.85367361706,448.04399965749735,False,False,False,True
100.0,24442863.723780733,425.8028253658942,False,True,False,True
10000.0,2447963556.0949473,429.9083445389531,False,True,False,True
1000000.0,244800038382.75244,429.95052297563194,False,True,False,True
100000000.0,24480007521105.46,429.9509448734076,True,True,False,True
