Level,Dof,Hexahedra,TipMean,TipNonAffineWarpingL2,TipCurvatureL2,P95ThreeDimensionalVonMisesStress,P95ShellMembraneStressResultant,LowOrderLocalTractionCoefficients,LowOrderLocalMomentCoefficients,IntegratedActionReactionDefect,RawPointwiseStressTraceMismatch,WallSeconds,Passed
"[12, 2, 2, 1, 1]",3675,96,-0.0004977719556622113,1.350213688168625e-07,6.190560166239972e-05,67.1634258035715,0.3935848394646178,"[[-0.029241635823705515, 0.0006892337282202551, -0.151050493582468], [-0.11274785566469296, 0.27320632766748415, -0.010119814435460532]]","[[6.654404644627854e-05, -0.00017729031892498877, -0.0007892349896488408], [0.004259075922194911, -0.000689531507352215, -0.004111955872222464]]",1.841141698945589e-10,0.846856167893127,1.6163003999972716,True
"[18, 3, 3, 2, 2]",13653,432,-0.0005527925226506328,1.3818871682553795e-07,6.52853613376181e-05,68.9686881774247,0.3888430801366461,"[[-0.019790112210323615, 0.0005832374010434536, -0.15991393929633588], [-0.11620816154930279, 0.3944354421574942, -0.010299000319402889]]","[[6.663209200758667e-05, -0.00011924702010084612, -0.0007919371009084511], [0.004826519278014543, -0.0007032241080971919, -0.003502638632555939]]",4.336625086195197e-10,0.6357180022383004,16.298997199999576,True
"[24, 3, 3, 2, 2]",18081,576,-0.0005882661958005424,1.378483711463961e-07,6.534423069095316e-05,69.94940566090821,0.4116280911723424,"[[-0.01633452269531764, 0.0005830390771575472, -0.17028017473132973], [-0.11795884690414882, 0.49917872355537574, -0.010288439415810103]]","[[6.658952775559619e-05, -9.807228581787258e-05, -0.0008038676974004332], [0.005529138799466508, -0.0007111640748164675, -0.0029554732321261496]]",1.7711045225401646e-10,0.6009932280488348,25.237876300001517,True
