AllImpactAuditsPassed,CheckpointReused,FirstLowerImpactNormalVelocity,FirstLowerImpactTimeS,ImpactAuditFailureCount,ImpactEventCount,InterfacePairs,MaximumImpactConstraintVelocityError,MaximumImpactEnergyLossError,MaximumImpactMomentumBalanceError,MaximumImpactRestitutionError,MaximumInterfaceGap,MaximumLowerStopPenetration,MaximumRelativeEnergyDefect,Mesh,Passed,PrimalDof,RodElements,RuntimeSeconds,SeparatingImpactCandidateCount,ShellTriangles,StepCount,TimeStepS,TotalLineSearchCount,TotalNewtonIterations,TotalUnknowns
True,True,-6.8414220083612864,0.20210084302591513,0,2,4,1.3326471003105578e-15,5.551115123125783e-17,2.168404344971009e-19,4.440892098500626e-16,1.734723475976807e-18,8.208776469518673e-09,0.016350781263979798,"[1, 1]",True,73,2,32.47792190000109,0,4,8,0.03,0,28,106
True,True,-6.682981446373101,0.19811897933450273,0,2,4,1.9936241785027675e-15,3.361026734705064e-17,2.168404344971009e-19,8.881784197001252e-16,1.3338277780836324e-16,2.289550289266157e-16,0.0018057177875146317,"[1, 1]",True,73,2,44.70797940000193,0,4,16,0.015,0,40,106
True,True,-6.609041463796492,0.19812350545382817,0,2,4,1.7767363101606204e-15,5.551115123125783e-17,2.168404344971009e-19,4.440892098500626e-16,6.938893903907228e-18,0.0,0.0005225199380508756,"[1, 1]",True,73,2,71.6749951999991,0,4,32,0.0075,0,70,106
True,True,-6.388472897392772,0.19332850255706752,0,2,6,8.882868399173738e-16,7.025630077706069e-17,1.6940658945086007e-20,4.440892098500626e-16,1.2357382735223268e-16,1.3750965799786807e-16,0.015460182790977987,"[2, 2]",True,145,4,125.98804029999883,0,16,8,0.03,0,30,190
True,True,-6.600958498271778,0.19069385872899422,0,2,6,2.5535705548782733e-15,1.1102230246251565e-16,3.2526065174565133e-19,1.1102230246251565e-16,2.6142474501742396e-16,0.0,0.002060627362211215,"[2, 2]",True,145,4,144.51433760000145,0,16,16,0.015,0,48,190
True,True,-6.456275169485152,0.1902693365423063,0,2,6,1.334652874329656e-15,1.3877787807814457e-16,4.336808689942018e-19,8.881784197001252e-16,8.051638438029445e-17,8.59148570727308e-09,0.00037945165448096535,"[2, 2]",True,145,4,221.35526830000163,0,16,32,0.0075,0,70,190
True,True,-6.311654397782495,0.1885078016473909,0,1,10,1.2061749168901237e-15,1.1102230246251565e-16,8.046812998915853e-21,4.440892098500626e-16,1.2718090576858041e-16,1.5281255464982086e-11,0.015093770962279048,"[4, 4]",True,361,8,394.19666530000177,0,64,8,0.03,2,32,430
True,True,-6.591153363580075,0.1859863413289312,0,2,10,7.760346456154449e-16,1.0581813203458523e-16,1.3877787807814457e-17,2.220446049250313e-16,1.4030254484505763e-16,5.635139334664503e-09,0.001933008621876127,"[4, 4]",True,361,8,892.7504797000001,0,64,16,0.015,0,53,430
True,True,-6.429690613899239,0.18553703146410636,0,2,10,1.332701310419182e-15,5.551115123125783e-17,1.0842021724855044e-19,5.551115123125783e-16,1.0817113477456893e-16,6.877114333596812e-09,0.0003284829000501366,"[4, 4]",True,361,8,642.6160759999984,0,64,32,0.0075,0,76,430
