RodSegments,ShellSegments,ShellToRodMeshRatio,ConstantPatchError,LinearPatchError,DiscreteInfSup,SchurSpectralCondition,ForceDefect,FirstMomentDefect,Passed
4,4,1.0,0.0,1.1102230246251565e-16,0.07293616737962087,375.9621450253125,0.0,0.0,True
4,8,2.0,3.3306690738754696e-16,5.551115123125783e-17,0.09583887505433972,217.7441926171917,1.1102230246251565e-16,0.0,True
4,16,4.0,4.440892098500626e-16,1.6653345369377348e-16,0.1007358531896342,197.0887601830275,0.0,0.0,True
4,32,8.0,4.440892098500626e-16,2.7755575615628914e-16,0.10192220781131076,192.52731330242125,2.220446049250313e-16,0.0,True
8,4,0.5,3.3306690738754696e-16,8.326672684688674e-17,0.09583887505433988,217.74419261719098,1.1102230246251565e-16,0.0,True
16,4,0.25,3.3306690738754696e-16,1.1102230246251565e-16,0.10073585318963373,197.0887601830293,0.0,0.0,True
32,4,0.125,3.3306690738754696e-16,1.1102230246251565e-16,0.10192220781131192,192.52731330241681,2.220446049250313e-16,0.0,True
