Case,Method,TimeStepS,FoldedAngleRad,ReleaseTimeS,CablePretensionN,TrajectoryRelativeError,EventTimeS,EventTimeRelativeError,EventCount,ReferenceEventCount,MissedEventCount,SimultaneousEventCount,GrazingEventCount,NormalImpulse,ImpulseRelativeError,PostimpactNormalVelocity,PostimpactVelocityRelativeError,MaximumConstraintDrift,MaximumRelativeEnergyBalanceError,MaximumImpactMomentumDefect,MaximumImpactRestitutionDefect,RelativeGlobalMomentumBalanceError,PeakInterfaceMomentNm,RuntimeSeconds,AllStepsConverged
isolated-impact,scipy-dop853-independent-event-reference,0.0,0.76,0.02,19.70998632374672,0.0,0.293134679239322,0.0,1,1,0,0,0,0.08737476289404529,0.0,0.9706998565752829,0.0,0.0,1.7726669168956325e-10,1.3878372437709762e-17,3.3306690738754696e-16,7.009942042070356e-07,0.00282641410609281,3.0774262999984785,True
near-simultaneous-impact,scipy-dop853-independent-event-reference,0.0,0.76,0.02,19.70998632374672,0.0,0.293134679239322,0.0,1,1,0,1,0,0.08737578364298282,0.0,0.9706998565752829,0.0,2.168404344971009e-19,4.725660245273588e-09,1.8053777551897343e-19,5.551115123125783e-16,6.526201766174253e-07,0.0022685355411951125,4.819914300001983,True
repeated-impact,scipy-dop853-independent-event-reference,0.0,0.76,0.02,19.70998632374672,0.0,0.29266967704382996,0.0,2,2,0,0,0,0.10393877546855855,0.0,1.8725183293045742,0.0,3.507394027990607e-17,3.5685316003408514e-10,2.775568474186293e-17,2.220446049250313e-16,1.2225135333535994e-06,0.004130376087202637,12.940456399999675,True
grazing-contact,scipy-dop853-independent-event-reference,0.0,0.3,0.02,4.929736667830245,0.0,0.48126640707695706,0.0,1,1,0,0,1,nan,nan,nan,nan,0.0,4.8688680840124536e-15,0.0,0.0,1.6942406918307012e-06,0.00042381669575613417,2.9022312000015518,True
