Stage,TipProfileRelativeError,WarpingRelativeError,CurvatureRelativeError,InterfaceTractionRelativeError,InterfaceTractionFluctuationRelativeError,InterfaceMomentDensityRelativeError,ConstraintError,PowerConjugacyDefect,ConditionNumber,NewtonIterations,AssemblySeconds,LinearSolveSeconds,InterfaceResultants,ShellStressResultant,ShellStressResultantRelativeError,ShellCurvature,Q2MaximumThreeDimensionalVonMisesStress
finite-width-dual-mortar,0.4574432510176119,0.7022076279128944,4.98173719227406,10.463615736356068,10.932552096374872,18.944500164980873,3.6183129924335575e-18,1.0408340855860843e-17,63766340346.04549,1,5.05049660000077,0.08858779999718536,"{'TotalForce': array([-1.98669331e-04, -1.68051337e-18,  9.80066578e-04]), 'TotalMomentAboutRodCenterline': array([ 1.75336626e-06, -1.31888171e-03,  9.61942386e-05]), 'TransverseProfile': [{'WidthCoordinate': -0.01154700538379, 'MeanTractionOnShell': array([0.20022606, 5.7867081 , 0.43605027]), 'MeanCoupleOnShell': array([-6.63261011e-02, -2.32301919e-02,  3.93800891e-05]), 'MeanLocalTraction': array([ 0.213092  ,  5.7867081 , -0.55082196]), 'MeanLocalWrenchMomentDensity': array([-0.107196  , -0.02195164, -0.00686149])}, {'WidthCoordinate': 0.01154700538379, 'MeanTractionOnShell': array([-0.21015952, -5.7867081 , -0.38704694]), 'MeanCoupleOnShell': array([ 7.59181234e-02, -4.26350804e-02,  2.54579477e-05]), 'MeanLocalTraction': array([-0.22622755, -5.7867081 ,  0.26824496]), 'MeanLocalWrenchMomentDensity': array([ 0.10732161, -0.04399245,  0.00207816])}], 'LocalFrameConvention': 'tangent-width-outward-normal', 'SignConvention': 'action on shell equals minus the multiplier associated with gap = shell minus rod'}",0.3559137906055045,0.3996509776172899,0.004562801225131441,128.8683074420837
selective-finite-width-dual-mortar,0.4723778565665379,1.473973412324608,6.021334103951957,1.0080058912091499,1.0517618451891746,5.749961500447253,1.4153014527354672e-18,4.336808689942018e-18,23900832061.89262,1,5.05049660000077,0.11144780000176979,"{'TotalForce': array([-1.98669331e-04, -2.86297136e-19,  9.80066578e-04]), 'TotalMomentAboutRodCenterline': array([ 7.04429697e-06, -1.33615632e-03,  6.80586339e-05]), 'TransverseProfile': [{'WidthCoordinate': -0.01154700538379, 'MeanTractionOnShell': array([ 1.39778807e-01, -2.23887749e-17,  1.83145634e-01]), 'MeanCoupleOnShell': array([ 2.00783701e-03, -3.33639846e-02,  2.78992098e-05]), 'MeanLocalTraction': array([ 1.48709186e-01,  8.43327178e-18, -3.08732053e-01]), 'MeanLocalWrenchMomentDensity': array([-0.00156182, -0.03247173, -0.00160471])}, {'WidthCoordinate': 0.01154700538379, 'MeanTractionOnShell': array([-1.49712274e-01, -2.23887749e-17, -1.34142305e-01]), 'MeanCoupleOnShell': array([ 2.00783701e-03, -3.33639846e-02,  2.78992098e-05]), 'MeanLocalTraction': array([-1.62016995e-01, -1.59618065e-16,  2.70939579e-02]), 'MeanLocalWrenchMomentDensity': array([ 0.00169026, -0.03433609, -0.00175838])}], 'LocalFrameConvention': 'tangent-width-outward-normal', 'SignConvention': 'action on shell equals minus the multiplier associated with gap = shell minus rod'}",0.32761389660078605,0.3791996447565181,0.004604233880632618,128.8683074420837
constant-transverse-mode,0.48203123519789187,1.5859152580710858,7.129746846050147,0.9585547386421129,1.0,5.636703944675935,1.1196187375925749e-17,8.673617379884035e-18,21301134876.773647,1,5.05049660000077,0.10879659999773139,"{'TotalForce': array([-1.98669331e-04, -1.49077799e-18,  9.80066578e-04]), 'TotalMomentAboutRodCenterline': array([ 2.36053240e-06, -1.30943311e-03,  1.08489658e-06]), 'TransverseProfile': [{'WidthCoordinate': -0.01154700538379, 'MeanTractionOnShell': array([-4.96673327e-03, -3.66460334e-17,  2.45016644e-02]), 'MeanCoupleOnShell': array([ 5.90140004e-05, -3.26967032e-02,  2.70899018e-05]), 'MeanLocalTraction': array([-6.52074434e-03, -8.85996463e-17, -1.40648036e-01]), 'MeanLocalWrenchMomentDensity': array([-1.56527827e-03, -3.27358276e-02,  6.00268550e-05])}, {'WidthCoordinate': 0.01154700538379, 'MeanTractionOnShell': array([-4.96673327e-03, -3.66460334e-17,  2.45016644e-02]), 'MeanCoupleOnShell': array([ 5.90140004e-05, -3.26967032e-02,  2.70899018e-05]), 'MeanLocalTraction': array([-6.52074434e-03, -8.85996463e-17, -1.40648036e-01]), 'MeanLocalWrenchMomentDensity': array([ 1.68284899e-03, -3.27358276e-02, -9.05632851e-05])}], 'LocalFrameConvention': 'tangent-width-outward-normal', 'SignConvention': 'action on shell equals minus the multiplier associated with gap = shell minus rod'}",0.3476928041787934,0.3928784561414186,0.00470191500300911,128.8683074420837
