TimeStepS,StepCount,PeakAbsoluteTipIncrementZ,FinalTipIncrementZ,RelativeTrajectoryErrorAgainstFinest,MaximumMechanicalEnergy,FactorizationCount,FactorizationReuseCount,WallSeconds,Finite
0.01,10,0.00010055596818300595,-0.00010055596818300595,0.019140757480210543,7.007414147766838e-07,1,9,0.01270970000041416,True
0.005,20,0.00010183960731869395,-0.00010183960731869395,0.00418522910020608,7.401720429844352e-07,1,19,0.026625399994372856,True
0.0025,40,0.0001022840585256565,-0.0001022840585256565,0.0,7.515320624375572e-07,1,39,0.05182129999593599,True
