TimeStepS,CompletedSteps,RuntimeSeconds,EventDetected,EventTimeS,PreimpactNormalVelocity,NormalImpulse,RestitutionError,EnergyLossError,GeneralizedMomentumBalanceError,ImpactAuditPassed,MaximumPenetration,MaximumNewtonResidual,NewtonIterations,JacobianAssemblyCount,JacobianReuseCount,EventLocalizationSolveCount,EventLocalizationWarmStartCount,Converged
0.02,10,10.909360799996648,True,0.1992631539179861,-7.073438188150706,0.07575655932225628,8.881784197001252e-16,1.1102230246251565e-16,2.5478751053409354e-18,True,0.0,6.62466495715499e-08,30,20,19,3,3,True
0.01,20,21.70514559998992,True,0.19811517516538277,-6.5177407097461115,0.06980502292573272,6.661338147750939e-16,1.3877787807814457e-16,1.3010426069826053e-18,True,0.0,1.2802912245845712e-09,60,40,39,3,3,True
0.005,40,35.73620679999294,True,0.198089032067458,-6.713264432494018,0.07189909571427419,1.6653345369377348e-16,2.7755575615628914e-17,3.2526065174565133e-18,True,0.0,1.0780563533029844e-07,81,80,40,4,4,True
0.0025,80,68.77330689999508,True,0.1980666181740609,-6.775337556077872,0.07256390136261183,1.3877787807814457e-15,5.551115123125783e-17,9.698527246061739e-19,True,0.0,1.726884738516316e-09,161,160,80,3,3,True
