Coarse,Fine,TractionChange,MomentChange,FullAveragedProfileChange,Interior80PercentProfileChange,InteriorDiagnosticSelectedAfterResults,InteriorDiagnosticReplacesPrimaryGate,SupportUnchanged
q2-18x3x3x2x2,q2-24x3x3x2x2,0.05336283474166637,0.051745561843338374,0.05066391887313323,0.06169636541655147,True,False,True
q2-24x3x3x2x2,q2-36x4x4x2x2,0.06036055789158827,0.0701418863032248,0.34494978583063357,0.8724178702880534,True,False,True
q2-36x4x4x2x2,q2-48x6x6x2x2,0.032701651327966846,0.04449433563062564,0.42621165006055656,0.9193521876164958,True,False,True
q2-48x6x6x2x2,q2-48x6x6x4x4,0.0075093080876948255,0.01052129634169079,0.05416289800100502,0.06471114368177651,True,False,True
