Id,Stage,ProfileRelativeL2Error,ResolvedErrorFraction,TransverseErrorFraction,ReconstructionClippedError,ReferenceLowOrderQualified,ProfileReferenceQualified
production-r8-s9-w6,finite-width-dual-mortar,3.5577732049409985,0.9520021516480581,0.9326455084030129,2.859139057827587,True,False
production-r8-s9-w6,selective-finite-width-dual-mortar,0.9810168248995577,0.36871513461935684,0.16428205561044368,0.9786801615847593,True,False
production-r8-s9-w6,constant-transverse-mode,0.9756093544564161,0.3616977467751963,0.166108221519489,0.9756093544564161,True,False
production-r8-s9-w12,finite-width-dual-mortar,2.092874112748497,0.8612950127133615,0.8173662852022977,1.7548461922613694,True,False
production-r8-s9-w12,selective-finite-width-dual-mortar,0.9920661566570067,0.3826989432826464,0.16064298716693962,0.9855739638695082,True,False
production-r8-s9-w12,constant-transverse-mode,0.9757961224103872,0.36194206624779607,0.16604464118137946,0.9757961224103872,True,False
production-r8-s9-w24,finite-width-dual-mortar,1.8226942311427063,0.8171265529795886,0.7612897285088577,1.5577646196055215,True,False
production-r8-s9-w24,selective-finite-width-dual-mortar,0.9754597546094401,0.3615019473251704,0.16615917527729565,0.9754827338135064,True,False
production-r8-s9-w24,constant-transverse-mode,0.9758769622520219,0.3620477729462768,0.16601713265920418,0.9758769622520219,True,False
production-r8-s17-w12,finite-width-dual-mortar,2.090352540047529,0.8609601738231348,0.8165933131346209,1.7530189476232285,True,False
production-r8-s17-w12,selective-finite-width-dual-mortar,0.9810332864167439,0.368736320076808,0.1642765424250498,0.9789646921184093,True,False
production-r8-s17-w12,constant-transverse-mode,0.9753234572614262,0.3613234800251715,0.16620561861296063,0.9753234572614262,True,False
production-r16-s17-w12,finite-width-dual-mortar,2.087317085181988,0.8605554859108808,0.8161213152074528,1.7509883578402974,True,False
production-r16-s17-w12,selective-finite-width-dual-mortar,0.9918463363338917,0.3824252913071833,0.1607142008321427,0.9858350704700022,True,False
production-r16-s17-w12,constant-transverse-mode,0.976656307399232,0.3630655037457489,0.16575228406712764,0.976656307399232,True,False
