Level,RepeatIndex,RodElementCount,ShellNodeCount,ShellTriangleCount,ShellBendingEdgeCount,FiniteWidthQuadratureCount,PrimalDof,MortarMultiplierDof,MechanismMultiplierDof,TotalDof,JacobianNnz,JacobianDensity,CsrStorageMB,PeakWorkingSetMB,PeakWorkingSetIncreaseMB,AssemblySeconds,LinearSolveSeconds,PreconditionerSetupSeconds,TotalNewtonSeconds,NewtonIterations,KrylovIterations,LineSearchCount,PreconditionerSetupCount,PreconditionerReuseCount,FactorReuseCount,FinalResidualInfinityNorm,FinalNormalizedResidual,ManufacturedSolutionRelativeError,MechanismMultiplierRelativeError,MaximumLinearRelativeResidual,MaximumPointwiseMortarGap,ActiveConstraintCount,ActiveStopCount,CableActive,ConnectionWidthRatio,StiffnessRatio,RodToShellAxialMeshRatio,ImplicitTimeStep,Converged,Passed,TopologyBuildSeconds,WarmupCount,MeasuredRepeatCount,AllWarmupsPassed,AllRepeatsPassed,CheckpointReused
10k,0,48,1701,3200,4900,224,10500,576,5,11081,467113,0.003804206158910845,5.387958526611328,550.1796875,107.35546875,17.543283999999403,0.6709952999990492,0.306109799999831,21.461264500001562,3,390,0,2,1,0,4.068742143203963e-08,3.869733835674335e-10,3.335345029818578e-07,2.086437645787791e-09,2.4641593809276848e-11,8.624594094452931e-13,581,4,True,0.2,1.0,0.6,0.0012500000000000002,True,True,1.290995399998792,1,3,True,True,False
30k,0,84,4653,8960,13612,402,28428,1008,5,29441,1240916,0.0014316513585760692,14.313468933105469,682.56640625,227.69140625,35.653194200000144,1.157281799994962,0.5203157999967516,42.247021099999984,3,401,0,2,1,0,1.9585325894411199e-07,1.2155041272027767e-09,3.123021270781768e-07,7.921567280340838e-09,5.537482261248062e-11,4.203443149108921e-13,1013,4,True,0.2,1.0,0.6,0.0007142857142857143,True,True,3.44818160000068,1,3,True,True,False
100k,2,150,16315,32000,48314,732,98796,1800,5,100601,4206925,0.00041568099994141816,48.528202056884766,1305.92578125,834.94921875,143.9847792000037,5.079060199997912,1.7601798999967286,171.97314870000264,4,525,0,2,2,0,1.6484591469634324e-12,6.2491838483497e-15,3.9263587327495477e-10,1.472022110980081e-14,6.23289989911412e-11,3.3306690738754696e-16,1805,4,True,0.2,1.0,0.6,0.0004,True,True,11.414882000000944,1,3,True,True,False
300k,0,282,49455,97760,147214,1364,298428,3384,5,301817,12666224,0.0001390464060878098,146.10477447509766,3115.09375,2587.328125,564.5963383999988,36.81770560000223,7.037762799998745,693.4322099000019,4,553,0,2,2,0,1.8632206888469227e-11,3.9717659333408255e-14,5.45738925843768e-10,1.3363459963004143e-12,4.070930265199511e-11,3.3306690738754696e-16,3389,4,True,0.2,1.0,0.6,0.00021276595744680854,True,True,30.501596699999936,1,3,True,True,False
