Level,RepeatIndex,RodElementCount,ShellNodeCount,ShellTriangleCount,ShellBendingEdgeCount,FiniteWidthQuadratureCount,PrimalDof,MortarMultiplierDof,MechanismMultiplierDof,TotalDof,JacobianNnz,JacobianDensity,CsrStorageMB,PeakWorkingSetMB,PeakWorkingSetIncreaseMB,AssemblySeconds,LinearSolveSeconds,PreconditionerSetupSeconds,TotalNewtonSeconds,NewtonIterations,KrylovIterations,LineSearchCount,PreconditionerSetupCount,PreconditionerReuseCount,FactorReuseCount,FinalResidualInfinityNorm,FinalNormalizedResidual,ManufacturedSolutionRelativeError,MechanismMultiplierRelativeError,MaximumLinearRelativeResidual,MaximumPointwiseMortarGap,ActiveConstraintCount,ActiveStopCount,CableActive,ConnectionWidthRatio,StiffnessRatio,RodToShellAxialMeshRatio,ImplicitTimeStep,Converged,Passed,TopologyBuildSeconds,WarmupCount,MeasuredRepeatCount,AllWarmupsPassed,AllRepeatsPassed,CheckpointReused
smoke-a,0,5,45,64,108,24,306,60,3,369,13636,0.10014615051299565,0.15746307373046875,434.5546875,8.31640625,1.0145776999997906,0.062174399998184526,0.006862900001578964,1.0873347999986436,3,237,0,2,1,0,3.4164737705566495e-10,7.0308850484493806e-12,2.0914678893344198e-08,1.1664310685199007e-11,3.4963301337332614e-12,1.7992551892831443e-14,63,2,True,0.2,1.0,0.625,0.0075,True,True,0.024072799998975825,0,1,True,True,False
smoke-b,0,7,65,96,160,36,438,84,3,525,20153,0.07311746031746032,0.23263931274414062,438.453125,8.78125,1.2806074999971315,0.08393979999891599,0.009301399997639237,1.2808966000011424,3,289,0,2,1,0,4.945278075929593e-10,1.1126924753058098e-11,2.9155531849646847e-08,2.2880974588077174e-11,1.1019177115683278e-11,2.6770252681274087e-14,87,2,True,0.2,1.0,0.5833333333333334,0.0075,True,True,0.05369979999886709,0,1,True,True,False
