Variant,TotalDof,RodToShellAxialMeshRatio,StiffnessRatio,ConnectionWidthRatio,ActiveStopCount,ActiveConstraintCount,NewtonIterations,KrylovIterations,MaximumLinearRelativeResidual,FinalNormalizedResidual,TotalNewtonSeconds,Passed
baseline,369,0.625,1.0,0.2,2,63,3,237,3.4963301337332614e-12,7.0308850484493806e-12,1.114149400000315,True
mesh-ratio-low,333,0.375,1.0,0.2,2,39,3,175,4.452906281113131e-12,5.723864641455015e-12,1.0837042000021029,True
mesh-ratio-high,387,0.75,1.0,0.2,2,75,3,255,1.1258282856062062e-11,7.608848862132557e-12,1.071956499999942,True
rod-soft,369,0.625,0.2,0.2,2,63,3,221,1.5285827998437735e-12,1.1173978636102257e-11,0.9981632000017271,True
rod-stiff,369,0.625,5.0,0.2,2,63,3,276,1.3270047253149075e-13,1.016253917435799e-11,0.9569023000003654,True
width-narrow,369,0.625,1.0,0.1,2,63,3,235,4.1876792253979435e-12,6.842365173095042e-12,1.232545899998513,True
width-wide,369,0.625,1.0,0.35,2,63,3,223,1.5379746302602802e-12,7.402732427375262e-12,1.096333899997262,True
stops-one,368,0.625,1.0,0.2,1,62,3,218,1.1956882839175019e-11,7.590712649745249e-12,1.0810268000022916,True
stops-many,372,0.625,1.0,0.2,5,66,3,223,1.4371662803941092e-11,4.344532337042273e-12,1.2078890999982832,True
